"Page","Section","Field","English","Arabic"
"home","summerCamp","badge","Upcoming","قريباً"
"home","summerCamp","headline","Summer Camp '26","المعسكر الصيفي '٢٦"
"home","summerCamp","body","Keep the little ones active and engaged all summer long. Art, water play, sports, and making memories.","حافظ على نشاط الصغار طوال الصيف. فنون، ألعاب مائية، رياضة، وصنع ذكريات لا تُنسى."
"home","summerCamp","cta","Pre-register for Camp","التسجيل المسبق للمعسكر"
"home","applyForm","badge","Admissions Open","باب القبول مفتوح"
"home","applyForm","headline","Join the Mada family today.","انضم إلى عائلة مدى اليوم."
"home","applyForm","body","Spaces are limited. Apply today and our team will get back to you within 48 hours to schedule a tour.","الأماكن محدودة. قدّم اليوم وسيتواصل معك فريقنا خلال 48 ساعة لتحديد موعد جولة."
"home","applyForm","floatingMessage","We can't wait to meet you!","لا نستطيع الانتظار للقائكم!"
"home","applyForm","fields.childName","Child's Full Name","اسم الطفل كاملاً"
"home","applyForm","fields.dob","Date of Birth","تاريخ الميلاد"
"home","applyForm","fields.ageGroup","Age Group","الفئة العمرية"
"home","applyForm","fields.parentName","Parent Name","اسم ولي الأمر"
"home","applyForm","fields.whatsapp","WhatsApp Number","رقم الواتساب"
"home","applyForm","fields.email","Email","البريد الإلكتروني"
"home","applyForm","fields.selectPlaceholder","Select...","اختر..."
"home","applyForm","fields.ageOptions.0","3–12 Months","3–12 شهراً"
"home","applyForm","fields.ageOptions.1","1–2 Years","1–2 سنة"
"home","applyForm","fields.ageOptions.2","2–3 Years","2–3 سنوات"
"home","applyForm","fields.ageOptions.3","3–5 Years","3–5 سنوات"
"home","applyForm","submitButton","Apply Now →","سجّل الآن ←"
"home","applyForm","successHeadline","Application Received!","استلمنا طلبك!"
"home","applyForm","successBody","We'll be in touch soon.","سنتواصل معك قريباً."
"about","hero","eyebrow","About Us","من نحن"
"about","hero","headline","Our Story & Philosophy.","قصتنا وفلسفتنا."
"about","hero","body","Born from a desire to create a nurturing, world-class early education space. Mada translates an international vision into local warmth.","ولدت مدى من الرغبة في خلق مساحة تعليمية عالمية المستوى ودافئة. نترجم الرؤية الدولية إلى دفء محلي."
"about","founderStory","headline","A vision for the future.","رؤية للمستقبل."
"about","founderStory","body1","Mada was created by a collective of passionate educators and parents who saw a gap. We wanted a preschool that didn't just 'watch' children, but actively cultivated their curiosity and readiness for the best international schools.","تم إنشاء مدى من قبل مجموعة من المعلمين وأولياء الأمور الشغوفين الذين رأوا فجوة. أردنا حضانة لا 'تراقب' الأطفال فحسب، بل تنمي فضولهم واستعدادهم لأفضل المدارس الدولية بنشاط."
"about","founderStory","body2","Our team consists of certified early-years specialists who understand how to structure days that blend play, learning, and rest in perfect harmony.","يتكون فريقنا من متخصصين معتمدين في السنوات المبكرة يفهمون كيفية تنظيم الأيام التي تمزج بين اللعب والتعلم والراحة في انسجام تام."
"about","values","eyebrow","Our Values","قيمنا"
"about","values","headline","The principles that guide us","المبادئ التي توجهنا"
"about","values","body","The principles that guide every interaction at Mada.","المبادئ التي توجه كل تفاعل في مدى."
"about","values","items.0.title","Growth Mindset","عقلية النمو"
"about","values","items.0.body","We praise effort, not just results. Every mistake is a learning opportunity.","نحن نشيد بالجهد، وليس النتائج فقط. كل خطأ هو فرصة للتعلم."
"about","values","items.1.title","Partnership","الشراكة"
"about","values","items.1.body","Parents are our co-educators. We build strong, transparent relationships based on trust.","الآباء هم شركاؤنا في التعليم. نبني علاقات قوية وشفافة مبنية على الثقة."
"about","values","items.2.title","Global Citizens","مواطنون عالميون"
"about","values","items.2.body","While grounded in our local culture, we prepare children to navigate diverse environments.","بينما نعتز بثقافتنا المحلية، نعد الأطفال للتنقل في بيئات متنوعة."
"programs","hero","eyebrow","Programs","برامجنا"
"programs","hero","headline","Programs for every stage.","برامج لكل مرحلة."
"programs","hero","body","From the first gentle days to kindergarten graduation, we have carefully designed environments tailored precisely to what children need at each developmental phase.","من الأيام اللطيفة الأولى إلى التخرج من رياض الأطفال، صممنا بعناية بيئات مصممة خصيصًا لتناسب ما يحتاجه الأطفال في كل مرحلة نمو."
"programs","programList","items.0.title","Infants","الرضّع"
"programs","programList","items.0.age","3 Months – 1 Year","٣ شهور – ١ سنة"
"programs","programList","items.0.body","A safe, soothing, and highly sensory environment designed to make your baby's first moments away from home comfortable. Our expert caregivers focus on establishing routines, encouraging early milestones, and building secure attachments.","بيئة آمنة ومهدئة وحسية للغاية مصممة لجعل لحظات طفلك الأولى بعيدًا عن المنزل مريحة. يركز مقدمو الرعاية الخبراء لدينا على تعزيز الروتين، وتشجيع الإنجازات المبكرة، وبناء مرفقات آمنة."
"programs","programList","items.1.title","Toddlers","الأطفال الصغار"
"programs","programList","items.1.age","1 Year – 2 Years","١ سنة – ٢ سنة"
"programs","programList","items.1.body","Active explorers need room to move. Our toddler program is designed around independent exploration, early language acquisition, and foundational social skills through guided play.","يحتاج المستكشفون النشطون إلى مساحة للحركة. تم تصميم برنامج الأطفال الصغار لدينا حول الاستكشاف المستقل واكتساب اللغة المبكر والمهارات الاجتماعية الأساسية من خلال اللعب الموجه."
"programs","programList","items.2.title","Preschool","ما قبل المدرسة"
"programs","programList","items.2.age","2 Years – 3 Years","٢ سنة – ٣ سنوات"
"programs","programList","items.2.body","Curiosity takes center stage. We introduce structured but highly engaging thematic learning. Children start building pre-literacy and pre-math skills while navigating social dynamics with peers.","الفضول يحتل مركز الصدارة. نقدم تعلمًا موضوعيًا منظمًا ولكنه جذاب للغاية. يبدأ الأطفال في بناء مهارات ما قبل القراءة والكتابة وما قبل الرياضيات أثناء التنقل في الديناميكيات الاجتماعية مع أقرانهم."
"programs","programList","items.3.title","Kindergarten","رياض الأطفال"
"programs","programList","items.3.age","3 Years – 5 Years","٣ سنوات – ٥ سنوات"
"programs","programList","items.3.body","The launchpad to big school. Focusing on interview readiness, emotional intelligence, bilingual fluency, and problem-solving. We guarantee your child leaves us confident and capable.","منصة الانطلاق إلى المدرسة الكبيرة. التركيز على الاستعداد للمقابلة، والذكاء العاطفي، والطلاقة ثنائية اللغة، وحل المشكلات. نضمن أن يتركنا طفلك واثقًا وقادرًا."
"curriculum","hero","eyebrow","Curriculum","المنهج الدراسي"
"curriculum","hero","headline","How we learn.","كيف نتعلم."
"curriculum","hero","body","Our curriculum is a beautiful blend of structured learning and child-led exploration. We prepare children for the top international schools through a holistic approach.","منهجنا عبارة عن مزيج جميل من التعلم المنظم والاستكشاف الذي يقوده الطفل. نعد الأطفال لأفضل المدارس الدولية من خلال نهج شامل."
"curriculum","interviewPrep","headline","School Interview Prep","التحضير للمقابلات المدرسية"
"curriculum","interviewPrep","body","We reverse-engineer the admission requirements of the top international schools in Egypt. Through mock interviews and targeted skill-building, we ensure your child confidently passes their assessments.","نحن نقوم بعكس هندسة متطلبات القبول في أفضل المدارس الدولية في مصر. من خلال المقابلات الوهمية وبناء المهارات المستهدفة، نضمن لأطفالك اجتياز تقييماتهم بثقة."
"curriculum","interviewPrep","focusAreasHeading","Key Focus Areas:","مجالات التركيز الرئيسية:"
"curriculum","interviewPrep","focusAreas.0.title","Phonics & Pre-Reading","الصوتيات وما قبل القراءة"
"curriculum","interviewPrep","focusAreas.1.title","Early Numeracy & Logic","الحساب المبكر والمنطق"
"curriculum","interviewPrep","focusAreas.2.title","Fine & Gross Motor Skills","المهارات الحركية الدقيقة والكبرى"
"curriculum","interviewPrep","focusAreas.3.title","Expressive Language & Confidence","اللغة التعبيرية والثقة بالنفس"
"curriculum","bilingualImmersion","headline","Bilingual Immersion","الانغماس ثنائي اللغة"
"curriculum","bilingualImmersion","body","Language is best learned naturally. Our classrooms feature native speakers who immerse children in both English and Arabic throughout the day—from storytelling and songs to everyday interactions.","يتم تعلم اللغة بشكل طبيعي. تتميز فصولنا بناطقين أصليين يغمرون الأطفال في كل من اللغتين الإنجليزية والعربية طوال اليوم - من سرد القصص والأغاني إلى التفاعلات اليومية."
"curriculum","dailyReports","eyebrow","Daily Progress & Reports","التقدم اليومي والتقارير"
"curriculum","dailyReports","headline","Daily Progress & Reports","التقدم اليومي والتقارير"
"curriculum","dailyReports","body","Because you never want to miss a moment.","لأنك لا تريد أن تفوت لحظة واحدة."
"curriculum","dailyReports","cards.0.title","Live Updates App","تطبيق التحديثات المباشرة"
"curriculum","dailyReports","cards.0.body","Get photos, meal logs, and nap times sent directly to your phone every day.","احصل على الصور، وسجلات الوجبات، وأوقات القيلولة المرسلة مباشرة إلى هاتفك كل يوم."
"curriculum","dailyReports","cards.1.title","Milestone Tracking","تتبع الإنجازات"
"curriculum","dailyReports","cards.1.body","Detailed termly reports charting your child's emotional, physical, and cognitive growth.","تقارير فصلية مفصلة ترسم نمو طفلك العاطفي والجسدي والمعرفي."
"curriculum","dailyReports","cards.2.title","Teacher Consultations","استشارات المعلمين"
"curriculum","dailyReports","cards.2.body","Regular 1-on-1 meetings to align our goals with your expectations for home.","اجتماعات فردية منتظمة لمواءمة أهدافنا مع توقعاتك في المنزل."
"characters","hero","eyebrow","Our Characters","شخصياتنا"
"characters","hero","headline","Our Characters.","شخصياتنا."
"characters","hero","body","Meet the 6 friendly pillars of our curriculum. These characters act as learning companions, making abstract concepts accessible and fun.","تعرف على الركائز الستة الودية لمنهجنا. تعمل هذه الشخصيات كرفقاء في التعلم، وتجعل المفاهيم المجردة سهلة الوصول وممتعة."
"characters","characterList","items.0.name","Brushi","براشي"
"characters","characterList","items.0.domain","Creativity & Art","الإبداع والفنون"
"characters","characterList","items.0.body","Brushi sees the world as a blank canvas. She encourages children to express their feelings through colors, building fine motor skills and creative confidence.","ترى براشي العالم كقماش أبيض. تشجع الأطفال على التعبير عن مشاعرهم من خلال الألوان، وبناء المهارات الحركية الدقيقة والثقة الإبداعية."
"characters","characterList","items.1.name","Ratio","ريشيو"
"characters","characterList","items.1.domain","Logic & Math","المنطق والرياضيات"
"characters","characterList","items.1.body","Ratio loves counting blocks, sorting shapes, and finding patterns. He makes foundational numeracy fun and engaging.","يحب ريشيو عد الكتل، وفرز الأشكال، والعثور على الأنماط. إنه يجعل الحساب الأساسي ممتعًا وجذابًا."
"characters","characterList","items.2.name","Lingo","لنجو"
"characters","characterList","items.2.domain","Languages & Phonics","اللغات والصوتيات"
"characters","characterList","items.2.body","Chatty and bilingual, Lingo helps children navigate words. From early phonics to expressing complex thoughts in English and Arabic.","ثرثار وثنائي اللغة، يساعد لنجو الأطفال على التنقل في الكلمات. من الصوتيات المبكرة إلى التعبير عن الأفكار المعقدة باللغتين الإنجليزية والعربية."
"characters","characterList","items.3.name","Akktiv","أكتيف"
"characters","characterList","items.3.domain","Physical & Movement","الرياضة والحركة"
"characters","characterList","items.3.body","Akktiv has endless energy! He guides children through outdoor play, balance exercises, and gross motor skill development.","أكتيف لديه طاقة لا نهاية لها! يوجه الأطفال عبر اللعب في الهواء الطلق، وتمارين التوازن، وتنمية المهارات الحركية الكبرى."
"characters","characterList","items.4.name","Cuddies","كاديز"
"characters","characterList","items.4.domain","Emotional IQ","الذكاء العاطفي"
"characters","characterList","items.4.body","Cuddies is all about empathy. She teaches children how to identify their feelings, self-soothe, and show kindness to friends.","كاديز تدور حول التعاطف. إنها تعلم الأطفال كيفية تحديد مشاعرهم، وتهدئة أنفسهم، وإظهار اللطف للأصدقاء."
"characters","characterList","items.5.name","Scopii","سكوبي"
"characters","characterList","items.5.domain","Science & Discovery","العلوم والاكتشاف"
"characters","characterList","items.5.body","Scopii is a nature explorer with a magnifying glass. He turns the garden into a laboratory, fostering a deep curiosity for the natural world.","سكوبي مستكشف طبيعة يحمل عدسة مكبرة. يحول الحديقة إلى مختبر، ويثير فضولًا عميقًا حول العالم الطبيعي."
"gallery","hero","eyebrow","Gallery","معرض الصور"
"gallery","hero","headline","A peek inside.","نظرة من الداخل."
"gallery","hero","body","Our campus is designed to inspire. Bright, safe, and wildly engaging spaces where every corner is a new adventure.","صُمم حرمنا ليكون ملهمًا. مساحات مشرقة وآمنة وجذابة للغاية حيث تمثل كل زاوية مغامرة جديدة."
"gallery","loadMore","cta","Load More Moments","تحميل المزيد من اللحظات"
